HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.img,Input.truck_name,Answer.FoodItem1,Answer.FoodItem10,Answer.FoodItem11,Answer.FoodItem12,Answer.FoodItem13,Answer.FoodItem14,Answer.FoodItem15,Answer.FoodItem16,Answer.FoodItem17,Answer.FoodItem18,Answer.FoodItem19,Answer.FoodItem2,Answer.FoodItem20,Answer.FoodItem21,Answer.FoodItem22,Answer.FoodItem23,Answer.FoodItem24,Answer.FoodItem25,Answer.FoodItem26,Answer.FoodItem27,Answer.FoodItem28,Answer.FoodItem29,Answer.FoodItem3,Answer.FoodItem30,Answer.FoodItem4,Answer.FoodItem5,Answer.FoodItem6,Answer.FoodItem7,Answer.FoodItem8,Answer.FoodItem9,Answer.Price1,Answer.Price10,Answer.Price11,Answer.Price12,Answer.Price13,Answer.Price14,Answer.Price15,Answer.Price16,Answer.Price17,Answer.Price18,Answer.Price19,Answer.Price2,Answer.Price20,Answer.Price21,Answer.Price22,Answer.Price23,Answer.Price24,Answer.Price25,Answer.Price26,Answer.Price27,Answer.Price28,Answer.Price29,Answer.Price3,Answer.Price30,Answer.Price4,Answer.Price5,Answer.Price6,Answer.Price7,Answer.Price8,Answer.Price9,Answer.Truck_Name,Approve,Reject
3MZ3TAMYTLEP4BB37TY9MFENEQIIRM,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,33FBRBDW6PQUWN716C1O9FG3H4YC8H,A31BYUGRYXVLJL,Approved,Tue Apr 23 13:10:01 PDT 2019,Tue Apr 23 13:11:54 PDT 2019,Fri Apr 26 13:11:54 PDT 2019,2019-04-26 20:12:07 UTC,,,113,100% (3/3),100% (3/3),100% (3/3),https://s3.amazonaws.com/nets213images/bui_s_2.jpg,bui,Mr. Bui,None,None,None,None,None,None,None,None,None,None,Mrs. Bui,None,None,None,None,None,None,None,None,None,None,Mix Veggie,None,"Pepperoni, Eggs and Cheese",Hangover Special,Bacon Egg Salad,Turkey Bacon BLT,Pepperoni Pizza Steak,Double Turkey Hoagie,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,4.75,6.5,6,6,7.5,6.5,bui,,
3MZ3TAMYTLEP4BB37TY9MFENEQIIRM,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3EO896NRAXM02L5VJ2T5NFPLL1QTJZ,APICU54PD3JZF,Approved,Tue Apr 23 05:26:49 PDT 2019,Tue Apr 23 05:30:22 PDT 2019,Fri Apr 26 05:30:22 PDT 2019,2019-04-26 12:31:07 UTC,,,213,100% (6/6),100% (6/6),100% (6/6),https://s3.amazonaws.com/nets213images/bui_s_2.jpg,bui,Mr. Bui,None,None,None,None,None,None,None,None,None,None,Mrs. Bui,None,None,None,None,None,None,None,None,None,None,Mix Veggie,None,"Pepperoni, Eggs & Cheese",Hangover Special,Bacon Egg Salad,Turkey Bacon B.L.T,Pepperoni Pizza Steak,Double Turkey Hoagie,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,4.75,6.75,6,6,7.5,6.5,bui,,
3MZ3TAMYTLEP4BB37TY9MFENEQIIRM,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3KXIR214I57GF4SXXGM5GQRC3RP24R,A1HTSCH5NYPS4R,Approved,Tue Apr 23 12:11:38 PDT 2019,Tue Apr 23 12:13:51 PDT 2019,Fri Apr 26 12:13:51 PDT 2019,2019-04-26 19:14:07 UTC,,,133,100% (6/6),100% (6/6),100% (6/6),https://s3.amazonaws.com/nets213images/bui_s_2.jpg,bui,Mr. Bui,None,None,None,None,None,None,None,None,None,None,Mrs. Bui,None,None,None,None,None,None,None,None,None,None,Mix Veggie,None,Pepperoni eggs & cheese,Hangover Special,Bacon Egg Salad,Turkey Bacon B.L.T,Pepperoni Pizza Steak,Double Turkey Hoagie,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,4.75,6.5,6,6,7.5,6.5,bui,,
3MZ3TAMYTLEP4BB37TY9MFENEQIIRM,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3V5Q80FXIYIVX89TX2HM6LZ6PRT327,A2Y5XC6F1BYXS3,Approved,Tue Apr 23 12:28:19 PDT 2019,Tue Apr 23 12:31:20 PDT 2019,Fri Apr 26 12:31:20 PDT 2019,2019-04-26 19:32:07 UTC,,,181,100% (5/5),100% (5/5),100% (5/5),https://s3.amazonaws.com/nets213images/bui_s_2.jpg,bui,Mr. Bui,None,None,None,None,None,None,None,None,None,None,Mrs. Bui,None,None,None,None,None,None,None,None,None,None,Mix Veggie,None,"Pepperoni, eggs, and cheese",Hangover Special,Bacon Egg Salad,Turkey Bacon B L T,Pepperoni Pizza Steak,Double Turkey Hoagie,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,4.75,6.5,6,6,7.5,6.5,bui,,
3MZ3TAMYTLEP4BB37TY9MFENEQIIRM,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3X65QVEQI1EPBURK01ASEK2914XCL3,A2AR3VBIMNRRJJ,Approved,Tue Apr 23 13:26:15 PDT 2019,Tue Apr 23 13:29:29 PDT 2019,Fri Apr 26 13:29:29 PDT 2019,2019-04-26 20:30:07 UTC,,,194,100% (2/2),100% (2/2),100% (2/2),https://s3.amazonaws.com/nets213images/bui_s_2.jpg,bui,Mr. BUI,None,None,None,None,None,None,None,None,None,None,Mrs. BUI,None,None,None,None,None,None,None,None,None,None,Mix VEGGIE,None,PEPPERONI EGGS & CHEESE,HANGOVER SPECIAL,BACON EGG SALAD,TURKEY BACON B . L . T .,PEPPERONI PIZZA STEAK,DOUBLE TURKEY HOAGIE,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,4.75,6.5,6,6,7.5,6.5,bui,,
3WA2XVDZEM8K2NBXJM5KQ5PZQAXE6B,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,345LHZDEDYJ4HKIVGMRSC4UY8ID3UQ,A28LAIEVP9TTBA,Approved,Tue Apr 23 13:02:36 PDT 2019,Tue Apr 23 13:07:50 PDT 2019,Fri Apr 26 13:07:50 PDT 2019,2019-04-26 20:08:07 UTC,,,314,100% (1/1),100% (1/1),100% (1/1),https://s3.amazonaws.com/nets213images/halal_1.jpg,halal,Chicken over Rice,Combo Salad,Shrimp Salad,Fish Salad,Kabab Salad,Falafel Salad,None,None,None,None,None,Lamb over Rice,None,None,None,None,None,None,None,None,None,None,Combo Platter,None,Falafel over Rice,Fish over Rice,Shrimp over Rice,Kabab over Rice,Chicken Salad,Lamb Salad,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,0,0,0,0,0,$6.00 ,0,0,0,0,0,0,0,0,0,0,$6.00 ,0,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,$6.00 ,halal,,
3WA2XVDZEM8K2NBXJM5KQ5PZQAXE6B,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,37U1UTWH9WDY2PWKO9RJYAFPH518RJ,A2V5EHWCQVEH9K,Approved,Tue Apr 23 12:34:48 PDT 2019,Tue Apr 23 12:36:19 PDT 2019,Fri Apr 26 12:36:19 PDT 2019,2019-04-26 19:37:07 UTC,,,91,100% (4/4),100% (4/4),100% (4/4),https://s3.amazonaws.com/nets213images/halal_1.jpg,halal,Chicken over Rice,Combo Salad,Shrimp Salad,Fish Salad,Kabab Salad,Falafel Salad,None,None,None,None,None,Lamb over Rice,None,None,None,None,None,None,None,None,None,None,Combo Platter,None,Falafel over Rice,Fish over Rice,Shrimp over Rice,Kabab over Rice,Chicken Salad,Lamb Salad,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,6,6,halal,,
3WA2XVDZEM8K2NBXJM5KQ5PZQAXE6B,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3LUY3GC630R9QYBM1CVOFFJF535P7J,APICU54PD3JZF,Approved,Tue Apr 23 05:43:26 PDT 2019,Tue Apr 23 05:45:31 PDT 2019,Fri Apr 26 05:45:31 PDT 2019,2019-04-26 12:46:07 UTC,,,125,100% (6/6),100% (6/6),100% (6/6),https://s3.amazonaws.com/nets213images/halal_1.jpg,halal,Chicken over rice,Combo Salad,Shrimp Salad,Fish salad,Kabab salad,Falafel salad,None,None,None,None,None,Lamb over rice,None,None,None,None,None,None,None,None,None,None,Combo platter,None,Falafel over rice,Fish over rice,Shrimp over rice,Kabab over rice,Chicken Salad,Lamb Salad,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,6,6,halal,,
3WA2XVDZEM8K2NBXJM5KQ5PZQAXE6B,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3NAPMVF0ZX6DYRAGZEKCJ2BMUTF27B,A1HTSCH5NYPS4R,Approved,Tue Apr 23 12:13:51 PDT 2019,Tue Apr 23 12:15:57 PDT 2019,Fri Apr 26 12:15:57 PDT 2019,2019-04-26 19:16:07 UTC,,,126,100% (6/6),100% (6/6),100% (6/6),https://s3.amazonaws.com/nets213images/halal_1.jpg,halal,Chicken over Rice,Combo Salad,Shrimp Salad,Fish Salad,Kabab Salad,Falafel Salad,None,None,None,None,None,Lamb over Rice,None,None,None,None,None,None,None,None,None,None,Combo Platter,None,Falafel over Rice,Fish over Rice,Shrimp over Rice,Kabab over Rice,Chicken Salad,Lamb Salad,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,6,6,halal,,
3WA2XVDZEM8K2NBXJM5KQ5PZQAXE6B,36R4ILE2GAUBVI3T48LAQUSF1ZHFHX,Truck Tracker menu copying,This task is to copy down menu items and prices from the given pictures,"food truck, menu, price, food",$0.00 ,Thu Apr 18 16:17:15 PDT 2019,5,BatchId:234762;OriginalHitTemplateId:920937243;,1800,259200,Tue Apr 23 16:17:15 PDT 2019,,,3WAKVUDHUX7MI3JIIYUIPL6EDKZ7UZ,A2XA9NIUUIGUGM,Approved,Tue Apr 23 12:23:34 PDT 2019,Tue Apr 23 12:33:37 PDT 2019,Fri Apr 26 12:33:37 PDT 2019,2019-04-26 19:34:07 UTC,,,603,100% (4/4),100% (4/4),100% (4/4),https://s3.amazonaws.com/nets213images/halal_1.jpg,halal,Chicken over Rice,Combo Salad,Shrimp Salad,Fish Salad,Kabab Salad,Falafel Salad,None,None,None,None,None,Lamb over Rice,None,None,None,None,None,None,None,None,None,None,Combo Platter,None,Falafel over Rice,Fish over Rice,Shrimp over Rice,Kabab over Rice,Chicken Salad,Lamb Salad,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,6,6,halal,,
