Truck,Food,Price
bui,bacon egg salad,6
bui,double turkey hoagie,6.5
bui,hangover special,6.5
bui,mix veggie,5
bui,mr bui,7
bui,mrs bui,7
bui,pepperoni eggs and cheese,4.75
bui,pepperoni pizza steak,7.5
bui,turkey bacon blt,6
halal,chicken gyro,5
halal,chicken over rice,6
halal,chicken salad,6
halal,combo gyro,5
halal,combo platter,6
halal,combo salad,6
halal,falafel over rice,6
halal,falafel salad,6
halal,falafel sandwich,5
halal,fish gyro,5
halal,fish over rice,6
halal,fish salad,6
halal,kabab gyro,5
halal,kabab over rice,6
halal,kabab salad,6
halal,lamb gyro,5
halal,lamb over rice,6
halal,lamb salad,6
halal,shrimp gyro,5
halal,shrimp over rice,6
halal,shrimp salad,6
lovash,aloo tikki chhole,5
lovash,chana masala,5
lovash,chicken bihari,6
lovash,chicken kebab,7
lovash,chicken tikka masala,6
lovash,lovash daal,5
lovash,mutter paneer,5
lovash,patta gobi,5
lovash,vegetable curry,5
lovash,vegetable samosa,1.5
tacos don memo,burrito,7
tacos don memo,quesadilla,7
tacos don memo,tacos,2.5
tacos don memo,torta,7
tacos don memo,torta cubana,9
tacos don memo,tostada,3
troy,beef doner kebab,6
troy,beef doner over fries,6
troy,chicken doner kebab,6
troy,chicken doner over fries,6
troy,combo doner over fries,6
troy,combo platter,6
troy,extra meat,1
troy,extra pita,1
troy,falafel,5
troy,falafel platter,6
troy,homemade fries,3
troy,hummus and falafel pita,6
troy,hummus and pita,4
troy,iskender doner kebab,6
troy,soda,1
